,open_covid_region_code,date,symptom:Adrenal crisis,symptom:Ageusia,symptom:Allergic conjunctivitis,symptom:Amenorrhea,symptom:Angular cheilitis,symptom:Anosmia,symptom:Aphonia,symptom:Asphyxia,symptom:Atheroma,symptom:Auditory hallucination,symptom:Balance disorder,symptom:Beau's lines,symptom:Burning Chest Pain,symptom:Cataplexy,symptom:Chorea,symptom:Cleft lip and cleft palate,symptom:Clouding of consciousness,symptom:Crackles,symptom:Crepitus,symptom:Cyanosis,symptom:Depersonalization,symptom:Dysautonomia,symptom:Dysgeusia,symptom:Dyspareunia,symptom:Epiphora,symptom:Esophagitis,symptom:Facial swelling,symptom:Fibrocystic breast changes,symptom:Focal seizure,symptom:Gastroparesis,symptom:Gingival recession,symptom:Globus pharyngis,symptom:Hemolysis,symptom:Hemoptysis,symptom:Hepatic encephalopathy,symptom:Hepatotoxicity,symptom:Hydrocephalus,symptom:Hypercalcaemia,symptom:Hypercapnia,symptom:Hyperemesis gravidarum,symptom:Hypersomnia,symptom:Hyperventilation,symptom:Hypochondriasis,symptom:Hypomania,symptom:Laryngitis,symptom:Male infertility,symptom:Mitral insufficiency,symptom:Muscle atrophy,symptom:Myoclonus,symptom:Nasal polyp,symptom:Neck mass,symptom:Neutropenia,symptom:Night terror,symptom:Nocturnal enuresis,symptom:Nystagmus,symptom:Onychorrhexis,symptom:Papule,symptom:Pericarditis,symptom:Petechia,symptom:Photophobia,symptom:Polydipsia,symptom:Polyuria,symptom:Ptosis,symptom:Pulmonary edema,symptom:Rectal pain,symptom:Rectal prolapse,symptom:Rheum,symptom:Rumination,symptom:Sensitivity to sound,symptom:Shallow breathing,symptom:Spasticity,symptom:Stomach rumble,symptom:Stridor,symptom:Subdural hematoma,symptom:Tachypnea,symptom:Tenderness,symptom:Trichoptilosis,symptom:Urinary urgency,symptom:Ventricular fibrillation,symptom:Viral pneumonia,hospitalized_new,hospitalized_cumulative
12,US-AK,2020-03-30,0.8283378746594007,0.9322089584930457,0.6860569301812669,0.7678701766337405,0.0,1.586461245612992,0.0,0.82049983724547,0.7267970256127789,0.7991446464029327,0.971469929025028,1.203432737582907,1.0015410581932926,1.2056847817496905,1.095292766934558,0.7928124872308256,0.7197126895450917,0.0,0.0,1.0902961508918663,1.025992801993294,0.0,1.3980129764801292,0.7646335032518894,0.8763428394775487,1.084902065391357,0.6621168941552923,0.8816529395058222,0.6219884628435701,0.5427657492062732,0.7978778024987165,1.3412077802602187,0.950904392764858,0.9084165477888732,1.0913209558496937,1.0839130900139142,0.0,0.7212883921499603,1.1444296062482298,0.7328255280294108,0.9045832488339076,1.4757900285105061,1.4935437589670022,1.0222914976299269,0.0,1.0225585244738706,0.7131249629322107,0.8633776091081594,0.6974525687486678,0.9663650668764753,0.5685579196217494,0.7870236759125645,0.7751438503955885,1.1204533473906166,0.826365501000228,1.0777056656726889,0.9663201145489634,1.0256563424031544,1.2403829492289034,0.9294401743381334,1.110958904109589,0.0,0.6794517519619764,1.249877358069839,0.0,0.7455714703303127,0.0,0.9706379070249771,0.7265697658969519,1.3431352246841997,0.0,0.784644266503199,1.2182022471910112,0.6615447759279687,1.2957636783399624,0.8531196412082838,1.3059602649006623,1.092000342964932,0.8100102532943454,0.7510644337212605,7.0,25.0
13,US-AK,2020-04-06,0.9318801089918256,0.7647026612638265,0.0,0.9722154639676902,0.8728483119353305,0.563797513532806,0.0,0.6631342905710876,1.1104378958964474,0.0,0.95816212177811,0.9283074274720268,0.8453804946062963,0.0,1.48888425007828,0.8031708413353491,0.0,0.8837453971593897,0.0,1.2476174219794598,0.7383801408840628,0.0,1.1536901865369016,0.8511161891369308,0.0,1.4415821964789266,0.5614219289035549,0.7114172110195967,0.8510349507974216,1.113461125301377,0.5735312095058801,1.3119332369562366,1.0688554491564068,0.7395149786019972,0.8634627342986587,1.0696778336722679,0.9029519583252942,0.8363988383349467,1.0775767876654123,0.701900665593387,1.0283918069357125,1.075205443350344,0.7566714490674321,0.9899004996370158,0.5245583146135633,0.6730196263892172,0.0,0.7514231499051234,0.0,1.0599921321793864,0.6699864191942054,0.6980385869274754,0.9219911292256052,0.7897996837111229,0.8910131422349397,0.6062094369408875,0.5244350370416485,0.9068426868970464,0.7942730895858604,1.0362222811202402,0.8479452054794522,0.6058784636653243,0.9888360782579861,1.1270570396467912,1.2892237306678598,0.7995323004969306,0.8407324859948196,0.9674380018369827,0.7364015624584804,0.8772002484986539,0.7767947967078699,1.2542048197387072,0.0,0.8067619218633765,0.9663152624405439,0.790528953963857,1.2211920529801326,0.0,0.0,0.7723531081464663,16.0,99.0
14,US-AK,2020-04-13,0.5768781627092254,0.0,0.0,0.714758405916987,0.8060865430337614,0.8860864909880439,0.0,0.7215450830048104,0.8337923437069679,1.160837024591416,0.779837504669406,1.1322464685332387,0.9158288691568209,0.9395959010563474,1.012629161882893,0.7458014955256813,0.9632083000798084,0.8874276696475538,0.856845160570089,0.9459190350203406,1.4537512688793872,0.0,0.7907542579075424,1.1369309193179817,0.0,0.829281304778599,0.9699015049247539,0.7755183186594717,1.053613844587717,0.9505383017831989,1.0647416933571308,0.9844920488894734,1.087095303237574,0.842225392296719,0.7483343697255043,0.8937707374504976,0.8209531159560101,0.7043914459209715,0.8033669216138563,1.1029867602181795,1.250354897586696,1.0588178921392466,0.8668579626972744,0.974890037152496,0.0,0.8536296996925985,0.0,0.8206831119544593,0.9560861223619698,0.0,0.8179417534329257,0.8275613275613272,0.892621673459602,0.923431734317343,1.0634068521941709,1.3134537800385897,0.5511423768909917,0.9941758012006813,0.8173193553976781,0.0,0.0,1.0886878643986295,1.044545153089422,1.485885028765107,0.0,1.0237357497807658,0.8130835491837841,0.7871766762466298,0.9762973985597744,0.8461379167529508,1.0098332357202309,0.7821922531703764,0.0,0.7004591745119669,0.8241217212316763,0.9611528822055139,1.1399558498896247,0.0,0.0,0.0,9.0,199.0
15,US-AK,2020-04-20,0.6841183339820942,0.0,0.6021090357709009,1.071237409371807,0.0,0.0,0.0,0.628087815110854,1.2588818507298267,1.2060485718649763,1.05575270825551,1.0475925269606603,0.9029133338225581,0.7495324148468165,0.8181818181818183,1.0406161892698076,0.6410614525139665,0.7843240399789583,1.1903025341420757,0.9389491052886118,0.9862499615491094,0.0,0.6620032441200323,1.4385656530145892,0.9110827730118249,0.6043746665650482,0.895805209739513,1.0067026412950866,0.8276213098065835,0.8779212718722395,0.9589007603726071,1.1959193060848998,1.0238638090895273,0.0,0.0,0.6934603446430483,0.0,0.8279503652204522,0.6583302982477439,1.1020496431746638,0.777428513486108,1.3610771700328232,0.9245337159253949,0.8943075543408634,0.0,1.0567037124615746,0.6821659450803633,1.3766603415559773,0.0,1.0833988985051142,0.8235249735928775,1.0480466036021587,1.111843682570127,1.04421454928835,1.0877668329492798,1.1461147167163657,1.045632820768225,1.4003763328454948,0.9794662970022527,0.0,0.0,1.1297108853759692,0.6068309936995689,0.0,0.0,1.1476176556562407,0.8765737003794952,0.959971556398329,1.1129593707650198,0.0,0.7357972935482879,1.032297613118271,1.0322097378277153,0.0,0.944285277182832,1.2946840786175966,0.871523178807947,0.0,1.0253294345498043,0.0,4.0,245.0
16,US-AK,2020-04-27,0.8264889061891787,0.6200854232833205,0.0,0.93890808233176,0.0,0.694545238236869,0.0,1.054830192773699,0.7470393830900579,1.219489842676035,1.3618322749346283,0.8744367373803857,0.0,0.9434946392350043,0.8679678530424799,1.0087443304866588,0.674461292897047,0.7683675258635804,0.8039668068321363,0.6671218457511876,0.9663785413270171,0.73593570608496,0.8454987834549876,0.927052206011601,0.8853079836154264,0.6489596829509945,1.3584320783960804,0.6262993467764839,1.3345775364777748,0.7354801747392038,0.9706608640375542,1.0332829543961102,0.9606323149414806,0.7988587731811698,0.9642000533001688,0.6965107567162582,0.9338221107466718,0.0,1.1818218607098054,0.991469832039791,1.079699858040965,0.7866024581326818,0.7179340028694408,0.8239953879660075,0.0,0.9641522818633245,0.8273530632821308,1.0322580645161292,1.5885738648475807,1.5114083398898508,0.6374176349278204,0.8245951579284909,1.1873651402541356,0.9696889826041117,1.1449190954901118,0.8935274513243291,0.9525617879599078,1.134314984618142,0.7720499046958934,1.3957946815089672,0.9794520547945206,1.3474484582556951,0.7560517298552006,0.0,0.7596101248197323,0.7698918444899152,0.7782663694958134,0.9535717460223401,0.7472165386761617,0.0,0.7390339385345707,0.9133749664763801,0.7108614232209737,0.7355770464048433,1.044421573808795,1.047750956338214,1.0657836644591612,0.9603018091400156,1.1198875935138417,0.0,-36.0,72.0
22,US-AK,2020-06-08,1.0788731023744649,0.0,0.0,0.8542893289864241,1.2116024726581078,0.6087680685265602,0.0,0.6411443451842744,0.0,1.1779440965327632,0.5660254015689204,0.9273454508632475,0.0,0.7280893548642028,0.5993111366245695,0.9298614799983654,0.7714285714285715,0.0,0.7554050533993227,0.7437910728002046,1.431788120212864,1.2319173363949485,0.8830089213300891,0.9681842151520476,0.8371203338743335,1.1403856413383124,1.138043097845108,0.7187730758307299,1.1717000339328139,1.0287412570719243,1.0412214860272366,0.7589696412143517,0.7940416476668188,0.8524964336661912,0.8394776583459181,0.0,0.8556820374300598,1.067675789844231,0.8815507263971513,1.122666218132013,0.0,1.3738230431970102,0.8436154949784797,0.6509800572233847,0.0,0.8248758571766373,0.7302058003677129,0.959203036053131,1.1056277979108933,0.0,1.114782958603692,0.9531291753513972,0.8485674898105969,0.9594095940959408,1.1955129016737993,0.7693387125065777,0.8182157753844238,0.7270989516442163,0.8963351238953389,1.0002650410813676,0.0,1.080272885736611,1.1300983751519842,0.7862908620612764,1.0244169277437962,1.1590178310435544,0.812059514487079,0.9461053005836864,0.9330374936890492,0.0,0.8393699331093373,0.8005823531665452,0.0,1.1370597439909707,1.0283997663486408,1.2809655718242976,0.9889624724061811,0.9177741575923863,1.0458360232408002,0.0,0.0,48.0
453,US-HI,2020-03-30,0.0,0.0,0.0,0.0,1.1519616665166923,0.0,0.9219296017656489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3932981123115276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996252527928362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7293173815031453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3102755536668051,12.0,54.0
454,US-HI,2020-04-06,0.0,0.0,0.0,0.0,1.0604247277962746,0.0,0.7475893115196317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0278997981716727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6783441342370343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.278528384729855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002260061620484,9.0,113.0
455,US-HI,2020-04-13,0.0,0.0,0.0,0.0,1.3894312966795646,0.0,0.7521260476970374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8747180339546479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7073224312048125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2098613546286336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39325072196412875,23.0,283.0
456,US-HI,2020-04-20,0.0,0.0,0.0,0.0,0.9349635561954468,0.0,0.5619071808301003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7632078831770152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4094759354142573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9805881746253923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6979920221756475,8.0,330.0
